1.651862	0.316927	-0.055684	1.391365	1.148412	0.452277	-0.687836	0.622981	1.020404	0.351581
2.636294	1.563089	-0.755156	0.360568	-0.366148	-0.178654	-0.041442	-1.116294	0.712219	0.010326
0.533915	-1.760233	-0.660470	0.598317	-0.705341	0.781289	-0.034036	-0.267060	1.262990	-0.317550
-0.037570	0.385882	-2.227624	-0.671512	0.409948	0.127426	-0.123358	0.871242	1.511413	-2.852930
0.276743	-0.208674	-0.734584	-0.059215	-1.316190	-0.652098	-1.735250	-0.211146	1.075873	-0.350940
1.182109	-0.612944	0.744679	-1.892919	-0.770261	-0.202323	-1.277067	-1.157012	-1.112476	-0.377351
-0.505683	-0.211984	0.715611	-0.196842	-0.921899	0.724860	-0.122550	0.318582	0.823301	0.747121
-1.445231	0.945821	-1.311167	0.374673	0.010431	0.938461	-0.125628	-0.247668	0.820441	1.459723
-0.505019	-0.947958	0.503515	-0.227466	0.040556	0.642048	0.197427	2.116991	1.813733	0.447455
0.372398	0.166153	-0.507116	1.529739	0.919272	-2.044217	1.814123	-1.599369	-0.273399	-0.483936
